Code,Indicator Name,Long definition,Source,Topic,Unit of measure,Periodicity,Reference period,Statistical concept and methodology,Previous Indicator Code,Previous Indicator Name
NW.NCA.FISH.TO,"Natural capital, fisheries (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.FECO.TO,"Natural capital, forests: ecosystem services (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",NW.NCA.FNTI.TO,"Natural capital, forests: nontimber (constant 2018 US$)"
NW.NCA.FTIM.TO,"Natural capital, forests: timber (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.FOSL.TO,"Natural capital, fossil fuels (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.MANG.TO,"Natural capital, mangroves (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.SSOI.TO,"Natural capital, nonrenewable assets (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.SACO.TO,"Natural capital, nonrenewable assets: coal (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.SAGA.TO,"Natural capital, nonrenewable assets: gas (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.MINR.TO,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.SAOI.TO,"Natural capital, nonrenewable assets: oil (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.PRAR.TO,"Natural capital, protected areas (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NCA.RNEW.TO,"Natural capital, renewable (constant 2018 US$)","Natural capital includes the valuation of renewable and nonrenewable natural capital. Renewable natural capital includes agricultural land (cropland and pastureland), forests (timber, and three ecosystem services: water, recretion and non-wood forest products), protected areas, mangroves and fisheries. Nonrenewable natural capital includes fossil fuel energy (oil, gas, hard and soft coal) and minerals (bauxite, copper, gold, iron ore, lead, nickel, phosphate, silver, tin, and zinc),Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Natural capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NFA.TO,Net foreign assets (constant 2018 US$),"Net foreign assets is foreign assets minus foreign liabilities. Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Net foreign assets,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.NFA.PC,Net foreign assets per capita (constant 2018 US$),"Net foreign assets is foreign assets minus foreign liabilities. Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Net foreign assets,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.PCA.TO,Produced capital (constant 2018 US$),"Produced capital includes the value of machinery, buildings, equipment, and residential and nonresidential urban land. Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Produced capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.PCA.PC,Produced capital per capita (constant 2018 US$),"Produced capital includes the value of machinery, buildings, equipment, and residential and nonresidential urban land. Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Produced capital,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.TOW.TO,Total wealth (constant 2018 US$),"Total wealth is calculated as the sum of produced capital, natural capital, human capital, and net foreign assets. Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Total wealth,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,
NW.TOW.PC,Total wealth per capita (constant 2018 US$),"Total wealth is calculated as the sum of produced capital, natural capital, human capital, and net foreign assets. Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",Total wealth,Constant 2018 US$,Annual,1995-2018,"Total wealth is calculated by summing up estimates of each component of wealth: produced capital, natural capital, human capital, and net foreign assets. The construction of the wealth accounts is guided by the concepts and methods of the System of National Accounts (SNA), the handbook developed by the UN Statistical Commission used by virtually all countries to compile their national economic accounts. While values for produced capital and net foreign assets are generally derived from widely used methods based on observed transactions for these assets, the value of natural capital and human capital must be estimated. The approach to asset valuation is based on the concept that the value of an asset should equal the discounted stream of expected net earnings (resource rents or wages) that it earns over its lifetime.",,